service_id,service_category,service_name,cost,description
b27e8366-fca9-4692-bc8f-a7e4cc5b1ea9,Massage,Chair Massage,88,"Chair Massage under category Massage cost of service is 88 A chair massage is a compact and focused form of massage therapy performed while seated in a specially designed massage chair. It provides quick relief from tension and stress by targeting key areas like the back, neck, shoulders, and arms. Chair massages are convenient and effective, offering relaxation, improved circulation, and relief from muscle discomfort in a short time-frame, making them an excellent choice for busy individuals seeking a revitalizing break"
acb898c3-eb3c-462c-a42e-fb60229aaac8,Massage,Myofascial release Massage,77,"Myofascial release Massage under category Massage cost of service is 77 This type of massage creates room for tissues that may be trapped by distortions or fascial adhesions, freeing them from constriction"
9a738618-0afc-4930-9a31-dd27f477b70c,Massage, Massage,77, Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
47f8339d-9162-4fe5-8fd8-c53d2b65d478,Massage,CBD INFUSED Massage,88,"CBD INFUSED Massage under category Massage cost of service is 88 Cannabidiol (CBD) is a cannabis compound that is non-psychoactive and has been used for it’s natural anti-inflammatory, anti-seizure, pain-relieving and nerve-calming effects.  Clinical studies have explored CBD’s potential as a remedy for a wide range of conditions, including arthritis, chronic pain, diabetes, depression, alcoholism, MS, schizophrenia, PTSD, epilepsy, and other neurological disorders.  Ohm Spa’s CBD infused massage incorporates pure CBD oil derived from hemp plants.  The infused massage cream is rubbed into the skin throughout the session to provide a unique sense of calm and relaxation"
506c4cf6-d925-41dd-9657-0b9843356d80,Massage,Therapeutic Massage,62,Therapeutic Massage under category Massage cost of service is 62 Therapeutic massage therapy is commonly used in New York athletes whose muscles may have experienced extended periods of overuse. It helps in loosening up any tight areas and making recovery quicker and easier – so you can get back on track to accomplishing your end goal
ffa9bc0e-fcf8-4eeb-b5a0-d046cc138f03,Massage,CrossFit Massage,62,"CrossFit Massage under category Massage cost of service is 62 CrossFit demands significant physical and mental exertion, blending weightlifting, gymnastics, and cardio to push the body’s limits. This intense regimen often leads CrossFit athletes to seek out massage therapy for recovery and injury prevention. Body Mechanics NYC explores various massage techniques, pinpoints optimal scheduling for therapy sessions, and offers tips for maximizing its benefits"
1209ad34-640a-410e-b742-46cc759af03f,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
d99d55ca-4e04-4ead-b377-dbbb2a2aed5c,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
1f0b75bc-3333-4195-b834-f608cbcbf87b,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
065ad7d1-ce8f-4a2f-bddd-35e146b3d952,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
a1ac2102-eb58-4e55-aa4c-89a657866c5b,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
e41562a5-241f-47dd-b554-571625a21556,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
633e3bd5-2ac5-4491-8cde-dfdd4a337fc3,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
1e5dacea-2344-4182-8553-3474c391914f,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
1136b823-bfa5-4b20-a29d-c4319b612996,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
cfd8ebf3-4cd8-479d-8758-a6e88cbf2891,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
ae0b75c4-82ba-4402-a4bf-427c31584b65,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
471c7e1c-e8af-496d-971c-f75b3e6758c9,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
5aa6faf0-69a5-40c5-85be-4e4da23bc0a8,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
da4f7118-eb65-4e03-830e-f65d9351afac,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
b42794e6-01ba-4b5e-a61f-b07a83a21a68,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
e74a7865-075d-4631-8367-e7dd988e1fb7,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
28a7bdf5-6bcc-4118-8414-780c5e419bc9,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
2f5df267-551f-4633-8bf5-7f4eee0bcde7,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
df4e1544-55a2-44d5-b6b2-e70f34ebac30,Hair,Hair Coloring with natural colours,69,Hair Coloring with natural colours under category Hair cost of service is 69 Full hair coloring service
f4d37c31-013a-450f-987c-d412fa8bbe6c,Hair,Permanent Hair Coloring,69,Permanent Hair Coloring under category Hair cost of service is 69 Full hair coloring service
b15750ab-ff23-4a3c-ac0f-1189f3b71f83,Hair,Military Haircut,48,Military Haircut under category Hair cost of service is 48 Basic haircut and styling
a8a0abbf-231b-4da1-8130-fb751b9f3ea9,Hair,A Typical Bob Haircut,48,A Typical Bob Haircut under category Hair cost of service is 48 The traditional bob is always a smart choice and is similar to a solid life insurance policy in that it is always certain to pay off! This cut will be simple to handle and always in style if you use minimum layers and smooth styling
da4bb6bd-7bbe-4c04-95d6-366e3097305a,Hair,Side Swept Bangs Haircut,48,Side Swept Bangs Haircut under category Hair cost of service is 48 Think of short side-swept bangs as your go-to style for giving a basic cut personality. The best aspect is that they are quite hassle-free
625260a8-d249-4024-a0ab-9c016d799ec0,Hair,Stacking Crop Haircut,48,Stacking Crop Haircut under category Hair cost of service is 48 This traditional short style that is one of the most popular layered hair cuts for women achieves massive volume with all-over layers while remaining low-maintenance enough to become a go-to for years to come
1def79ed-4aca-4511-8542-4bc37a393557,Hair,Bold Pixie Haircut,48,"Bold Pixie Haircut under category Hair cost of service is 48 This has just the right mix of sassiness, energy, and confidence to stand out"
4e0250bd-5f17-4605-826c-6c6b9b50d23d,Hair,French Bob Haircut,48,"French Bob Haircut under category Hair cost of service is 48 The French bob is created by fusing the traditional bob with European ease. This flawlessly mussed cut, which is frequently complemented by short bangs, manages to look both dishevelled and put-together at the same time, which is pretty much what the French are known for. This look is gorgeous for whether you’re strutting through the city or going to a fancy party"
5efc86fe-ced2-4d6e-88a7-8b3530110c1d,Hair,Shag Haircut,48,"Shag Haircut under category Hair cost of service is 48 Despite being a throwback to the 1970s, this hairstyle qualifies as timeless since it looks good on people with a variety of face types, hair lengths, and textures. For a casual appearance that endures trends, add bangs and a face-framing centre part to your hair"
b200949e-eb4c-4ab9-871d-48238cfb144e,Hair,Full Bangs Haircut,48,"Full Bangs Haircut under category Hair cost of service is 48 Poufy permed bangs? Nope! The type of fringe that is going to stand the test of time is the full bang. Sometimes called the Birkin bang, the key to getting this look right is to not make it look overly styled. That’s why it’s easy to achieve! We especially love and think it looks great when styled on long hair"
a7bd8453-289e-42fd-a023-b0fbfc3442bb,Hair,Centre-Parted Bangs Haircut,48,"Centre-Parted Bangs Haircut under category Hair cost of service is 48 This look is so glamorous! The cut will give you volume all over. But in order to make your bangs blend in seamlessly, ask your stylist to incorporate some layers"
f7543c75-f9b7-4f58-86bb-1b4db11077d5,Hair,Choppy Lob Haircut,48,"Choppy Lob Haircut under category Hair cost of service is 48 A “lived-in” look is something that everyone wants to achieve. This layered long bob does just that! To go for that extra flair, you can pair it with some side-swept bangs"
0103955a-ee51-4cc5-8af0-dd894a9874c6,Hair,Curly Bangs Haircut,48,"Curly Bangs Haircut under category Hair cost of service is 48 Keep in mind, when cutting curly bangs, that you’re going to want everything to look absolutely seamless. It all has to work together to give a head of gorgeous curls."
a633cf18-97bd-4f98-8185-8e390f5e5fa3,Hair,Top Up - Smooth Boost Hair Treatment,52,"Top Up - Smooth Boost Hair Treatment under category Hair cost of service is 52 ADD A SILK FEEL TO YOUR TRESSES WITH THIS SHOT, THAT LEAVES YOUR HAIR SMOOTH AND MANAGEABLE."
c163d826-ec63-40f8-b2f3-4150de574add,Hair,Hair Coloring ,69,Hair Coloring  under category Hair cost of service is 69 Full hair coloring service
0a6f1517-4019-46d7-87f7-b07b7ef5e9a3,Hair,Root Touch-Up Hair Coloring,69,Root Touch-Up Hair Coloring under category Hair cost of service is 69 Coloring of hair roots
2fd0cefd-3e45-4165-8441-01be0742bf31,Hair,Highlights Hair Coloring,69,Highlights Hair Coloring under category Hair cost of service is 69 Partial or full highlights
b431a74d-f007-4ff1-82c5-a9b0010597f2,Hair,Lowlights Hair Coloring,69,"Lowlights Hair Coloring under category Hair cost of service is 69 Lowlights involve adding darker shades to your hair to create depth and contrast. This technique is ideal for those looking to add richness and dimension to their hair color. Lowlights can enhance your natural shade or complement existing highlights, resulting in a more dynamic and multi-dimensional look. Our stylists use professional techniques to blend lowlights seamlessly, providing a natural and sophisticated appearance. This service is perfect for those wanting a subtle yet impactful change, adding complexity and interest to your hairstyle"
fd8b8e2f-f05b-4801-a137-330bfc19c086,Hair,Undercut Crop Haircut,48,Undercut Crop Haircut under category Hair cost of service is 48 Try this if you’re looking for modern haircuts for women. We think this look is the perfect blend between classic and modern. The undercut detail can be subtle or more noticeable depending on your preference
aa81f6f0-35e2-46d4-9bb5-66bfd0d9c4a6,Hair,"Layers, Layers, Layers Haircut",48,"Layers, Layers, Layers Haircut under category Hair cost of service is 48 There’s a reason why everyone loves layers! Almost everyone who wants some extra volume resorts to layers. The best part is that they will never fail us. And this is the reason why they’re timeless and not going anywhere"
452e81e8-ad7e-4ba1-ac72-141463a69710,Hair,Mid-Length Curls Haircut,48,"Mid-Length Curls Haircut under category Hair cost of service is 48 Curls just make any classic, timeless cut just a touch more exciting! To top of the look, you can ask for some wispy bangs if you want"
06154ed8-aa98-4bf7-8995-a44b909020ef,Hair,Mid-Length Waves Haircut,48,"Mid-Length Waves Haircut under category Hair cost of service is 48 If you’re looking at shoulder haircuts for women, check this out! This cut gives off the idea that the person with the haircut is laidback yet super stylish! To get these effortless waves, the cut should be right below the shoulders. Of course, you can throw in some layers too"
795c666f-44d3-4af4-b26e-dc1a2a4f0103,Hair,Angled Bob Haircut,48,"Angled Bob Haircut under category Hair cost of service is 48 Short cuts are hardly boring. Since this cut is angled in the front but stacked at the back, this bob will give you the same effect as layers in how it will frame your face. It’s so sleek and will suit almost anyone! If you want to add in some bangs, that’s up to you"
d967db14-e7ed-45c4-bdc1-06836cdeb13c,Hair,Anti-frizz Hair Treatment,52,"Anti-frizz Hair Treatment under category Hair cost of service is 52 A professional treatment, designed to repair and reinvigorate damaged hair, which penetrates into the 3 layers that make up the hair - cuticle / cortex / medulla - making the hair instantly more shiny, soft, luminous and hydrated"
fb075b51-c5ad-444d-9fea-0a3d05d71c9c,Hair,Olaplex Hair Treatment,52,"Olaplex Hair Treatment under category Hair cost of service is 52 Treatment with a single active ingredient, a molecule called Bis-Aminopropyl Diglycol Dimaleate, which restores the health of the hair through the reconnection of disulfide bridges, which create a kind of ""scaffolding"" around the hair to protect it"
0903d5b5-431d-4b91-9aa8-23c75fd6b0de,Hair,Hair Repair Fibre Clinix Hair Treatment,52,"Hair Repair Fibre Clinix Hair Treatment under category Hair cost of service is 52 An exclusive repairing treatment that, thanks to Triple Bonding & C21 Technology, restores the surface of the hair and connects the internal bonds by repairing the internal and external structure"
586e7d91-0147-41d7-bc5e-face75be0499,Hair,Keratin Intensive Hair Treatment,52,"Keratin Intensive Hair Treatment under category Hair cost of service is 52 Get to the core of dry, damaged hair with Keratin Intensive Treatment This weekly deep conditioning mask repairs and protects vulnerable hair and delivers intense hydration and shine"
7c20ed23-8b96-431e-a071-b3fc59a8b669,Hair,DEEP CURATIVE Hair Treatment,52,"DEEP CURATIVE Hair Treatment under category Hair cost of service is 52 Highly intensive treatment, highly recommended for “hopeless” hair and excellent for treated and exploited hair. Allows in a single session to rebuild the protein bonds of the shaft and seal the cuticles in a lasting way for strong, shiny hair with anti-frizz, detangling and extreme softness"
8505ecea-7a9f-4ed8-8314-a13ad4a1f92a,Hair,RITUAL CURATIVE Hair Treatment,52,"RITUAL CURATIVE Hair Treatment under category Hair cost of service is 52 This service can rebuild the hair fiber and restore skin abnormalities with treatments that work in synergy with each other, with relaxing rituals combined with massage for maximum penetration and effectiveness"
5c62e673-4395-4298-b2b8-8ae94bcfc14f,Hair,KERATIN OR NANOPLASTY IRONING Hair Treatment,52,"KERATIN OR NANOPLASTY IRONING Hair Treatment under category Hair cost of service is 52 Is your dream to have smooth, shiny hair that washes easily? This treatment allows for all these things and nourished, soft hair. Formaldehyde-free"
4f9c93ad-a267-45ed-b7b8-b8c1c6184ec3,Hair,CRYOPROBE Hair Treatment,52,"CRYOPROBE Hair Treatment under category Hair cost of service is 52 Deep hair reconstruction: you visibly improve the structure deep down. Smoothing effect: natural smoothing is achieved in a healthy way without using chemical additives (formaldehyde or silicones or heat plate) Post-stress restructuring service: if your hair is stressed by chemical treatments, you can restructure the hair in minutes and prepare it for bleaching. To make the color hold more: can be used post toning to make the color last longer and provide more brightness and softness."
31d688ef-df0a-459a-8129-2427b153be8c,Hair,CURATIVE EXPRESS Hair Treatment,52,"CURATIVE EXPRESS Hair Treatment under category Hair cost of service is 52 Beautiful and shiny hair requires special attention, this care proposal allows you to take care of it regularly by spending just the right amount of time. Indicated for stem problems such as dehydration, breaking hair, dryness, dullness, split ends, and as maintenance after chemical and mechanical treatment (straighteners ,irons, etc.)"
e450e5da-6684-47da-8e31-16caeee5715b,Hair,Corrective Hair Coloring,69,"Corrective Hair Coloring under category Hair cost of service is 69 Restore damaged, previously colored hair to your ideal tone and shade. This process is also recommended if you want to transition your hair from very light to dark or from very dark to much lighter. Please note it may take several appointments to achieve your desired color"
505d7af0-0830-4df6-a672-d2e4a3f4e048,Hair,Single Process Color Hair Coloring,69,"Single Process Color Hair Coloring under category Hair cost of service is 69 Treat your hair to a single color process applied from roots to ends. Enhance, restore, or maintain existing color to ensure a long lasting and flawless look"
53e0704d-2b10-4291-85b6-bc71a2151dca,Hair,Highlights (Foil) Hair Coloring,69,Highlights (Foil) Hair Coloring under category Hair cost of service is 69 Your colorist will help you create a custom look that artfully weaves ribbons of color through your strands. Just think of the endless possibilities – from a natural sunkissed look to a multi-dimensional blonde hair color.
4bf6c926-27d5-4792-8c24-290b523c0e98,Hair,Gloss Hair Coloring,69,"Gloss Hair Coloring under category Hair cost of service is 69 For extra shine and depth, turn to the trusted experts at Warren Tricomi. Our glaze service adds a semi-permanent coat to your locks that can last up to two weeks."
41629376-6aaf-4b15-a561-fbf9f18ecd84,Hair,Gloss and Tone Hair Coloring,69,"Gloss and Tone Hair Coloring under category Hair cost of service is 69 Our gloss and tone service is perfect for refreshing your hair color and adding shine. This treatment involves applying a semi-permanent gloss that enhances your existing color, neutralizes brassy tones, and adds a beautiful, healthy shine. Ideal for all hair types, this service can revive dull, faded color and improve the overall appearance of your hair. Gloss and tone treatments are gentle and nourishing, providing a boost of hydration and vibrancy without the commitment of permanent color. Achieve a radiant, salon-quality finish with this essential hair care service"
55d4207a-a4ff-41ef-9584-fe1e226012a0,Hair,Root Touch-Up Hair Coloring,69,"Root Touch-Up Hair Coloring under category Hair cost of service is 69 Our root touch-up service is designed to cover up gray hairs or regrowth at the roots, keeping your hair color looking fresh and consistent. This service focuses on applying color to the new growth area, blending it seamlessly with the rest of your hair. Ideal for maintaining your look between full coloring sessions, root touch-ups help you stay confident and polished. Our expert colorists will match your existing shade perfectly, ensuring a natural and flawless finish. Keep your hair looking vibrant and well-groomed with regular root touch-ups."
88c41c77-55b0-46fb-8085-dc5fced511c0,Massage,Couple's Massage,62,"Couple's Massage under category Massage cost of service is 62 Listed below are the Swedish and Deep Tissue massages, but you may choose any of our modalities to enjoy with your massage partner. Please see other massage therapy descriptions for information and pricing. It is also not necessary to receive the same modality, but we would recommend scheduling the same amount of time."
b55e5977-5f0c-4766-86ff-18f1b10264c9,Massage,Herbal Poultice Massage,77,"Herbal Poultice Massage under category Massage cost of service is 77 A deep heat medicinal muscle treatment that dates to the 14th century Thailand when a hot pack was administered to soldiers returning from battle. A bag of dried herbs is steamed and applied directly to the body. The heat combined with the herbs from the poultice is absorbed by the body and helps reduce aches and pains and increase lymphatic drainage. It incorporates three massage modalities to alleviate sore muscles; back and joint pain; and reduce stress, detoxify, and energize"
35e33dbb-3b83-4da6-9793-20500893ca22,Massage,Bitch Massage,77,"Bitch Massage under category Massage cost of service is 77 Soothing and relaxing for both body and mind, this massage works to address anxiety, stress, insomnia, irritability, and premenstrual symptoms by using specific massage strokes, pressure points, stretches, and oil aromas that sooth aches and pains by increasing blood circulation and lymph flow; decrease fluid retention in muscles, tissues and joints; and eliminate toxins to calm the nervous system, thereby allowing one's body to feel stillness and comfort.
"
d4792ef4-4ce6-4eb1-af2d-ce7e66cbf6ac,Massage,CLINICAL Massage,88,CLINICAL Massage under category Massage cost of service is 88 Uses a combination of advanced techniques to help chronic pain related to specific medical conditions and injuries
434a3460-257e-402f-bda4-0ca87a1e7be0,Massage,ROOFTOP Massage,77,"ROOFTOP Massage under category Massage cost of service is 77 Enjoy a massage in the privacy of our cabana in our beautiful Rooftop Garden! Available seasonally, weather & temperature permitting"
4b814c19-b46f-4e2a-b27b-c7698d1ac80e,Massage,SIDE-BY-SIDE Massage,62,"SIDE-BY-SIDE Massage under category Massage cost of service is 62 Loosen up with a partner, friend, or relative and enjoy a massage in the same room at the same time"
6eb7ddb0-c888-4a06-a02f-c7dca9f8208a,Massage,Head & Neck Recovery Herbal Poultice Massage,77,"Head & Neck Recovery Herbal Poultice Massage under category Massage cost of service is 77 Described as a transcendental experience, this treatment uses a hot steamed bag of herbs and three massage modalities on the back, neck, shoulders, face, and skull to bring a deep medicinal heat to the muscles to release tensions and revitalize the mind."
77c6e0ec-059c-4c4e-a6a8-b3d90683128b,Massage,SPORTS  Massage,62,"SPORTS  Massage under category Massage cost of service is 62 For athletes and non-athletes alike! This massage integrates stretching techniques for lengthening tight muscles, increasing flexibility and range of motion"
277e3e67-2081-417f-8360-332b11b1e6ae,Massage,MUSCLE MELTDOWN Massage,77,"MUSCLE MELTDOWN Massage under category Massage cost of service is 77 Our Signature Massage! This massage incorporates moist heat packs, a pain relieving gel and cool marble stones for the ultimate in hot and cold therapy"
f36a866d-e993-44ce-9ad3-c0045d651f06,Massage,PRENATAL OR POSTNATAL Massage,88,PRENATAL OR POSTNATAL Massage under category Massage cost of service is 88 A wonderful way to heal and ease the discomforts experienced during and after your pregnancy. Can be done face down on our prenatal table and cushion or side-lying
b48374c7-3f6b-4b4c-9bae-7fb3e125b901,Massage,Reflexology Foot Massage,88,"Reflexology Foot Massage under category Massage cost of service is 88 Working with the ancient understanding that all areas of the body have corresponding points in the feet, this therapy uses gentle pressure applied to carefully selected reflex points in the feet to unlock tension and stress. This massage will stimulate circulation, relieve stress, promote overall relaxation, and release energy throughout your entire body"
229ba0f8-e6ab-49e3-a3e4-c0f48bd17401,Massage,Harmony Massage,62,"Harmony Massage under category Massage cost of service is 62 This massage experience consists of sound therapy, Ayurvedic massage, and aromatherapy. We use tuning forks to restore the body's electromagnetic field, Ayurvedic massage with a focus on the heart chakra, marmas, and vital meridian points, and grounding and uplifting aromas to release emotional burden and restore a sense of balance and harmony. The two tuning forks used were carefully selected for their ability to open energy pathways in order to ease physical and emotional pain"
db5b92e3-9568-46ca-b9aa-b3248edbf38a,Massage,Geek Massage Massage,77,"Geek Massage Massage under category Massage cost of service is 77 An intense combination of therapeutic stretching and targeted deep tissue work that focuses therapy on the upper body -- back, shoulders, neck, chest, head, and arms. Created to address and relieve the myriad of problems that result from long hours hunched over a computer, this massage helps relieve muscle spasms, aches, lack of mobility, headaches, and muscle tightness. Includes a set of T Spheres (rubber massage balls) that are used during the session and then given to you, so you can continue addressing specific issues with trigger point work at home."
43e33756-521d-4b8a-9329-754c1cf21625,Massage,EXPRESS Massage,62,EXPRESS Massage under category Massage cost of service is 62 A quick pick-me-up or if you’re just looking to target a specific area.
45c2878d-b149-4228-ba15-1f22b63953b8,Massage,HEAVENLY HAND & FOOT Massage,77,"HEAVENLY HAND & FOOT Massage under category Massage cost of service is 77 Enhance any massage service with a moisturizing blend of shea butter, coconut oil, jojoba & Vitamin E! Product is applied warm to the hands & feet, which are then wrapped to insulate & kept snug & warm in soft booties & mitts"
e5469225-184a-4bbd-8412-64f63c61ac03,Massage,REFLEXOLOGY Massage,77,"REFLEXOLOGY Massage under category Massage cost of service is 77 Pressure point massage is used on the hands and/or feet to balance energy throughout the body. Help to eliminate toxins, relax the body and stimulate the healthy function of internal organs. Available as an add-on to any massage"
73731300-de26-48e0-a0da-3dd8c6f03477,Massage,POWERGUN ACTIVE SPORTS Massage,88,"POWERGUN ACTIVE SPORTS Massage under category Massage cost of service is 88 Incorporating the best performing, most effective massage gun on the market, your Ohm Spa massage therapist will combine percussion massage therapy with expert manual massage techniques to loosen tight muscles and work out soreness from overworked tissue. Runners, weightlifters, cross-trainers, dancers and tri-athletes alike can now the best best of both worlds – massage gun percussion to loosen the fascia, and then expert manual therapy to continue the recovery process. Experience reduced soreness, faster recovery and better physical performance with this massage as part of your overall training, nutrition and recover program."
6a96b64d-73da-4ae0-8087-fd4721976d2f,Massage,SHIATSU Massage,62,"SHIATSU Massage under category Massage cost of service is 62 This traditional, Eastern healing method relies on pressure and stretching to relieve blocked energy. The palms, fingers, thumbs, knuckles, elbow, knees and feet are used to work along the body’s meridians or energy channels to help balance energy flow and strengthen the vital organs. Please wear loose, comfortable clothing during your session"
c2fe6461-0465-4040-b6f4-459ba432d4c8,Massage,Geriatric Massage,88,"Geriatric Massage under category Massage cost of service is 88 Specialized Geriatric Massage Body Mechanics Orthopedic Massage proudly offers specialized Geriatric Massage tailored to meet the unique needs of older adults. This gentle, therapeutic form of massage focuses on addressing the specific physical conditions and health challenges associated with aging. Our experienced therapists are adept at creating a nurturing, comfortable environment, ensuring each session is both effective and soothing for our senior clients"
